Fecha,Capital,Rendimiento,Flujo,Saldo
01/01/19,"0,00",0,0,1000
01/02/19,"60,00",30,90,940
01/03/19,"61,80","28,20",90,"878,20"
01/04/19,"63,65","26,35",90,"814,55"
01/05/19,"65,56","24,44",90,"748,98"
01/06/19,"67,53","22,47",90,"681,45"
01/07/19,"69,56","20,44",90,"611,90"
01/08/19,"71,64","18,36",90,"540,25"
01/09/19,"73,79","16,21",90,"466,46"
01/10/19,"76,01","13,99",90,"390,45"
01/11/19,"78,29","11,71",90,"312,17"
01/12/19,"80,63","9,37",90,"231,53"
01/01/20,"83,05","6,95",90,"148,48"
01/02/20,"85,55","4,45",90,"62,93"
01/03/20,"62,93","1,89",65,0
